"KOTA,KECAMATAN,CODE,REG,ESTIMASI REG,OKE,ESTIMASI OKE,YES,ORIGIN"
"LombokTimur,Sakra,AMI,44000,3 - 6,38000,4 - 7,-,JAKARTA"
"LombokTimur,SakraBarat,AMI,44000,3 - 6,38000,4 - 7,-,JAKARTA"
"LombokTimur,SakraTimur,AMI,44000,3 - 6,38000,4 - 7,-,JAKARTA"
"LombokTimur,Sambelia,AMI,66000,+ 10,-,-,-,JAKARTA"
"Bima,Sanggar,AMI,66000,+ 10,-,-,-,JAKARTA"
"Bima,Sape,AMI,44000,3 - 6,38000,4 - 7,-,JAKARTA"
"SumbawaBarat,Sekongkang,AMI,44000,3 - 6,38000,4 - 7,-,JAKARTA"
"LombokBarat,SekotongTengah,AMI,66000,+ 10,-,-,-,JAKARTA"
"LombokTimur,Selong,AMI,35000,2 - 3,30000,3 - 6,-,JAKARTA"
"LombokTimur,Sembalun,AMI,66000,+ 10,-,-,-,JAKARTA"
"SumbawaBarat,Seteluk,AMI,66000,+ 10,-,-,-,JAKARTA"
"LombokTimur,Sikur,AMI,44000,3 - 6,38000,4 - 7,-,JAKARTA"
"LombokTimur,Suela,AMI,44000,3 - 6,38000,4 - 7,-,JAKARTA"
"LombokTimur,Sukamulia,AMI,44000,3 - 6,38000,4 - 7,-,JAKARTA"
"Sumbawa,Sumbawa,AMI,35000,2 - 3,30000,3 - 6,-,JAKARTA"
"Sumbawa,SumbawaBesar,AMI,35000,2 - 3,30000,3 - 6,-,JAKARTA"
"LombokTimur,Suralaga,AMI,44000,3 - 6,38000,4 - 7,-,JAKARTA"
"SumbawaBarat,Taliwang,AMI,35000,2 - 3,30000,3 - 6,-,JAKARTA"
"Bima,Tambora,AMI,66000,+ 10,-,-,-,JAKARTA"
"LombokBarat,Tanjung,AMI,44000,3 - 6,38000,4 - 7,-,JAKARTA"
"LombokTimur,Terara,AMI,44000,3 - 6,38000,4 - 7,-,JAKARTA"
"Sumbawa,Utan-Rhee,AMI,44000,3 - 6,38000,4 - 7,-,JAKARTA"
"LombokTimur,Wanasaba,AMI,44000,3 - 6,38000,4 - 7,-,JAKARTA"
"Bima,Wawo,AMI,44000,3 - 6,38000,4 - 7,-,JAKARTA"
"Bima,Wera,AMI,44000,3 - 6,38000,4 - 7,-,JAKARTA"
"Bima,Woha,AMI,35000,2 - 3,30000,3 - 6,-,JAKARTA"
"Dompu,Woja,AMI,44000,3 - 6,38000,4 - 7,-,JAKARTA"
"Buru,AirBuaya/BuruUtaraBarat,AMQ,161000,+ 10,-,-,-,JAKARTA"
"MalukuTengah,Amahai,AMQ,161000,+ 10,-,-,-,JAKARTA"
"Ambon,Ambon,AMQ,52000,2 - 3,45000,3 - 5,-,JAKARTA"
"MalukuTengah,Banda,AMQ,161000,+ 10,-,-,-,JAKARTA"
"SeramBagianTimur,Bula,AMQ,161000,+ 10,-,-,-,JAKARTA"
"MalukuTenggaraBarat,Damer,AMQ,161000,+ 10,-,-,-,JAKARTA"
"SeramBagianTimur,DataranHunimoa,AMQ,161000,+ 10,-,-,-,JAKARTA"
"KepulauanAru,Dobo,AMQ,161000,+ 10,-,-,-,JAKARTA"
"SeramBagianBarat,Kairatu,AMQ,161000,+ 10,-,-,-,JAKARTA"
"MalukuTenggara,KeiBesar,AMQ,161000,+ 10,-,-,-,JAKARTA"
"MalukuTenggara,KeiBesarSelatan,AMQ,161000,+ 10,-,-,-,JAKARTA"
"MalukuTenggara,KeiBesarUtaraTimur,AMQ,161000,+ 10,-,-,-,JAKARTA"
"MalukuTenggara,KeiKecil,AMQ,161000,+ 10,-,-,-,JAKARTA"
"MalukuTenggaraBarat,Kormomolin,AMQ,161000,+ 10,-,-,-,JAKARTA"
"MalukuTengah,KotaMasohi,AMQ,85000,3 - 5,73000,5 - 7,-,JAKARTA"
"MalukuTengah,Leihitu,AMQ,161000,+ 10,-,-,-,JAKARTA"
"Ambon,LeitimurSelatan,AMQ,52000,2 - 3,45000,3 - 5,-,JAKARTA"
"Buru,Leksula/BuruSelatan,AMQ,161000,+ 10,-,-,-,JAKARTA"
"MalukuTenggaraBarat,Luser,AMQ,161000,+ 10,-,-,-,JAKARTA"
"MalukuTenggaraBarat,Mola,AMQ,161000,+ 10,-,-,-,JAKARTA"
"Buru,Namlea,AMQ,85000,3 - 5,73000,5 - 7,-,JAKARTA"
"MalukuTenggaraBarat,Nirunmas,AMQ,161000,+ 10,-,-,-,JAKARTA"
"MalukuTengah,NusaLaut,AMQ,161000,+ 10,-,-,-,JAKARTA"
"Ambon,Nusaniwe,AMQ,52000,2 - 3,45000,3 - 5,-,JAKARTA"
"SeramBagianBarat,Piru,AMQ,161000,+ 10,-,-,-,JAKARTA"
"MalukuTengah,PulauHaruku,AMQ,161000,+ 10,-,-,-,JAKARTA"
"KepulauanAru,Pulau-PulauAru,AMQ,161000,+ 10,-,-,-,JAKARTA"
"KepulauanAru,Pulau-PulauAruSelatan,AMQ,161000,+ 10,-,-,-,JAKARTA"
"KepulauanAru,Pulau-PulauAruTengah,AMQ,161000,+ 10,-,-,-,JAKARTA"
