"KOTA,KECAMATAN,CODE,REG,ESTIMASI REG,OKE,ESTIMASI OKE,YES,ORIGIN"
"Paser,LongIkis,BPN,77000,5 - 7,65000,6 - 8,-,JAKARTA"
"Paser,LongKali,BPN,77000,5 - 7,65000,6 - 8,-,JAKARTA"
"Berau,Maratua,BPN,77000,5 - 7,65000,6 - 8,-,JAKARTA"
"KutaiKartanegara,MuaraJawa,BPN,77000,5 - 7,65000,6 - 8,-,JAKARTA"
"Paser,MuaraKomam,BPN,77000,5 - 7,65000,6 - 8,-,JAKARTA"
"Paser,MuaraSamu,BPN,116000,+ 10,-,-,-,JAKARTA"
"Paser,PasirBalengkong,BPN,116000,+ 10,-,-,-,JAKARTA"
"PanajamPaserUtara,Penajam,BPN,61000,3 - 5,52000,5 - 7,-,JAKARTA"
"Berau,PulauDerawan,BPN,77000,5 - 7,65000,6 - 8,-,JAKARTA"
"Berau,Sambaliung,BPN,77000,5 - 7,65000,6 - 8,-,JAKARTA"
"KutaiKartanegara,Samboja,BPN,77000,5 - 7,65000,6 - 8,-,JAKARTA"
"Berau,Segah,BPN,77000,5 - 7,65000,6 - 8,-,JAKARTA"
"PanajamPaserUtara,Sepaku,BPN,116000,+ 10,-,-,-,JAKARTA"
"Berau,Talisayan,BPN,77000,5 - 7,65000,6 - 8,-,JAKARTA"
"Paser,TanahGrogot,BPN,61000,3 - 5,52000,5 - 7,-,JAKARTA"
"Paser,TanjungHarapan,BPN,116000,+ 10,-,-,-,JAKARTA"
"Berau,TanjungRedeb,BPN,61000,3 - 5,52000,5 - 7,-,JAKARTA"
"Berau,TelukBayur,BPN,77000,5 - 7,65000,6 - 8,-,JAKARTA"
"Berau,Tubaan,BPN,77000,5 - 7,65000,6 - 8,-,JAKARTA"
"PanajamPaserUtara,Waru,BPN,77000,5 - 7,65000,6 - 8,-,JAKARTA"
"KutaiTimur,BatuAmpar,BTG,98000,+ 10,-,-,-,JAKARTA"
"KutaiTimur,Bengalon,BTG,65000,5 - 7,57000,6 - 8,-,JAKARTA"
"Bontang,Bontang,BTG,49000,2 - 3,42000,3 - 5,-,JAKARTA"
"Bontang,BontangBarat,BTG,49000,2 - 3,42000,3 - 5,-,JAKARTA"
"Bontang,BontangSelatan,BTG,49000,2 - 3,42000,3 - 5,-,JAKARTA"
"Bontang,BontangUtara,BTG,49000,2 - 3,42000,3 - 5,-,JAKARTA"
"KutaiTimur,Busang,BTG,98000,+ 10,-,-,-,JAKARTA"
"KutaiTimur,Kaliorang,BTG,65000,5 - 7,57000,6 - 8,-,JAKARTA"
"KutaiTimur,Karangan,BTG,98000,+ 10,-,-,-,JAKARTA"
"KutaiTimur,Kaubun,BTG,98000,+ 10,-,-,-,JAKARTA"
"KutaiTimur,Kongbeng,BTG,98000,+ 10,-,-,-,JAKARTA"
"KutaiTimur,LongMasengat,BTG,98000,+ 10,-,-,-,JAKARTA"
"KutaiTimur,MuaraAncalong,BTG,98000,+ 10,-,-,-,JAKARTA"
"KutaiTimur,MuaraBengkal,BTG,98000,+ 10,-,-,-,JAKARTA"
"KutaiTimur,MuaraWahau,BTG,65000,5 - 7,57000,6 - 8,-,JAKARTA"
"KutaiTimur,RantauPulung,BTG,65000,5 - 7,57000,6 - 8,-,JAKARTA"
"KutaiTimur,Sandaran,BTG,98000,+ 10,-,-,-,JAKARTA"
"KutaiTimur,Sangatta,BTG,52000,3 - 5,45000,5 - 7,-,JAKARTA"
"KutaiTimur,SangattaSelatan,BTG,52000,3 - 5,45000,5 - 7,-,JAKARTA"
"KutaiTimur,Sangkima,BTG,52000,3 - 5,45000,5 - 7,-,JAKARTA"
"KutaiTimur,Sangkulirang,BTG,65000,5 - 7,57000,6 - 8,-,JAKARTA"
"KutaiTimur,SingaGembara,BTG,52000,3 - 5,45000,5 - 7,-,JAKARTA"
"KutaiTimur,SwargaBara,BTG,52000,3 - 5,45000,5 - 7,-,JAKARTA"
"KutaiTimur,Telen,BTG,98000,+ 10,-,-,-,JAKARTA"
"KutaiTimur,TelukPandan,BTG,52000,3 - 5,45000,5 - 7,-,JAKARTA"
"Batam,Batam,BTH,25000,1 - 2,22000,2 - 3,32000,JAKARTA"
"Batam,BatuAmpar,BTH,25000,1 - 2,22000,2 - 3,32000,JAKARTA"
"Batam,BelakangPadang,BTH,25000,1 - 2,22000,2 - 3,-,JAKARTA"
"Batam,BulangGalang,BTH,25000,1 - 2,22000,2 - 3,-,JAKARTA"
"Natuna,BunguranBarat,BTH,95000,+ 10,-,-,-,JAKARTA"
"Natuna,BunguranTengah,BTH,95000,+ 10,-,-,-,JAKARTA"
"Natuna,BunguranTimur,BTH,95000,+ 10,-,-,-,JAKARTA"
"Natuna,BunguranTimurLaut,BTH,95000,+ 10,-,-,-,JAKARTA"
"Natuna,BunguranUtara,BTH,95000,+ 10,-,-,-,JAKARTA"
"Karimun,Buru,BTH,95000,+ 10,-,-,-,JAKARTA"
"Lingga,Daik,BTH,50000,2 - 3,43000,3 - 6,-,JAKARTA"
"Batam,Galang,BTH,25000,1 - 2,22000,2 - 3,-,JAKARTA"
"Natuna,Jemaja,BTH,95000,+ 10,-,-,-,JAKARTA"
"Natuna,JemajaTimur,BTH,95000,+ 10,-,-,-,JAKARTA"
"Karimun,Karimun,BTH,63000,3 - 6,54000,4 - 7,-,JAKARTA"
"Karimun,Kundur,BTH,50000,2 - 3,43000,3 - 6,-,JAKARTA"
"Karimun,KundurBarat,BTH,63000,3 - 6,54000,4 - 7,-,JAKARTA"
"Karimun,KundurUtara,BTH,63000,3 - 6,54000,4 - 7,-,JAKARTA"
"Lingga,Lingga,BTH,50000,2 - 3,43000,3 - 6,-,JAKARTA"
"Lingga,LinggaUtara,BTH,95000,+ 10,-,-,-,JAKARTA"
"Batam,LubukBaja,BTH,25000,1 - 2,22000,2 - 3,32000,JAKARTA"
"Karimun,Meral,BTH,63000,3 - 6,54000,4 - 7,-,JAKARTA"
"Natuna,Midai,BTH,95000,+ 10,-,-,-,JAKARTA"
"Karimun,Moro,BTH,95000,+ 10,-,-,-,JAKARTA"
"Batam,Nongsa/Kabil/Lagoi,BTH,25000,1 - 2,22000,2 - 3,32000,JAKARTA"
"Natuna,PalMatak,BTH,95000,+ 10,-,-,-,JAKARTA"
"Natuna,PulauLaut,BTH,95000,+ 10,-,-,-,JAKARTA"
"Natuna,PulauTiga,BTH,95000,+ 10,-,-,-,JAKARTA"
"Natuna,Ranai,BTH,50000,2 - 3,43000,3 - 6,-,JAKARTA"
"Batam,SeiBeduk,BTH,25000,1 - 2,22000,2 - 3,32000,JAKARTA"
"Batam,Sekupang/TanjungUcang,BTH,25000,1 - 2,22000,2 - 3,32000,JAKARTA"
"Lingga,Senayang,BTH,95000,+ 10,-,-,-,JAKARTA"
"Natuna,Serasan,BTH,95000,+ 10,-,-,-,JAKARTA"
"Natuna,Siantan,BTH,95000,+ 10,-,-,-,JAKARTA"
"Natuna,SiantanSelatan,BTH,95000,+ 10,-,-,-,JAKARTA"
"Natuna,SiantanTimur,BTH,95000,+ 10,-,-,-,JAKARTA"
"Lingga,Singkep,BTH,50000,2 - 3,43000,3 - 6,-,JAKARTA"
"Lingga,SingkepBarat,BTH,95000,+ 10,-,-,-,JAKARTA"
"Natuna,Subi,BTH,95000,+ 10,-,-,-,JAKARTA"
"Karimun,TanjungBalaiKarimun,BTH,50000,2 - 3,43000,3 - 6,-,JAKARTA"
"Karimun,TanjungBatu,BTH,63000,3 - 6,54000,4 - 7,-,JAKARTA"
"Karimun,Tebing,BTH,63000,3 - 6,54000,4 - 7,-,JAKARTA"
"Simeuleu,Alafan,BTJ,90000,+ 10,-,-,-,JAKARTA"
"AcehBarat,AronganLambalek,BTJ,60000,3 - 6,52000,4 - 7,-,JAKARTA"
"AcehTengah,AtuLintang,BTJ,60000,3 - 6,52000,4 - 7,-,JAKARTA"
"AcehBaratDaya,BabahRot,BTJ,60000,3 - 6,52000,4 - 7,-,JAKARTA"
"AcehTenggara,BabulMakmur,BTJ,60000,3 - 6,52000,4 - 7,-,JAKARTA"
"AcehTenggara,BabulRahmat,BTJ,60000,3 - 6,52000,4 - 7,-,JAKARTA"
"AcehTenggara,Babussalam,BTJ,60000,3 - 6,52000,4 - 7,-,JAKARTA"
"AcehTenggara,Badar,BTJ,60000,3 - 6,52000,4 - 7,-,JAKARTA"
"BandaAceh,Baiturrahman,BTJ,33000,1 - 2,29000,2 - 3,-,JAKARTA"
"AcehBesar,Baitussalam,BTJ,60000,3 - 6,52000,4 - 7,-,JAKARTA"
"AcehSelatan,Bakongan,BTJ,60000,3 - 6,52000,4 - 7,-,JAKARTA"
"AcehSelatan,BakonganTimur,BTJ,60000,3 - 6,52000,4 - 7,-,JAKARTA"
"AcehUtara,Baktia,BTJ,60000,3 - 6,52000,4 - 7,-,JAKARTA"
"AcehUtara,BaktiaBarat,BTJ,60000,3 - 6,52000,4 - 7,-,JAKARTA"
"AcehTenggara,Bambel,BTJ,60000,3 - 6,52000,4 - 7,-,JAKARTA"
"BandaAceh,BandaAceh,BTJ,33000,1 - 2,29000,2 - 3,-,JAKARTA"
"AcehTimur,BandaAlam,BTJ,60000,3 - 6,52000,4 - 7,-,JAKARTA"
"BenerMeriah,Bandar,BTJ,60000,3 - 6,52000,4 - 7,-,JAKARTA"
"BandaAceh,BandaRaya,BTJ,33000,1 - 2,29000,2 - 3,-,JAKARTA"
"PidieJaya,BandarBaru,BTJ,60000,3 - 6,52000,4 - 7,-,JAKARTA"
"PidieJaya,BandarDua,BTJ,60000,3 - 6,52000,4 - 7,-,JAKARTA"
"Lhokseumawe,BandaSakti,BTJ,48000,2 - 3,41000,3 - 6,-,JAKARTA"
"Pidie,Batee,BTJ,60000,3 - 6,52000,4 - 7,-,JAKARTA"
"AcehTengah,Bebesen,BTJ,60000,3 - 6,52000,4 - 7,-,JAKARTA"
"AcehTamiang,Bendahara,BTJ,60000,3 - 6,52000,4 - 7,-,JAKARTA"
"NaganRaya,Beutong,BTJ,60000,3 - 6,52000,4 - 7,-,JAKARTA"
"AcehTengah,Bies,BTJ,60000,3 - 6,52000,4 - 7,-,JAKARTA"
"AcehTengah,Bintang,BTJ,60000,3 - 6,52000,4 - 7,-,JAKARTA"
"AcehTimur,BiremBayeun,BTJ,60000,3 - 6,52000,4 - 7,-,JAKARTA"
"Bireuen,Bireuen,BTJ,48000,2 - 3,41000,3 - 6,-,JAKARTA"
"GayoLues,BlangJerango,BTJ,60000,3 - 6,52000,4 - 7,-,JAKARTA"
"GayoLues,BlangKejeren,BTJ,48000,2 - 3,41000,3 - 6,-,JAKARTA"
"Lhokseumawe,BlangMangat,BTJ,48000,2 - 3,41000,3 - 6,-,JAKARTA"
"GayoLues,BlangPegayon,BTJ,60000,3 - 6,52000,4 - 7,-,JAKARTA"
"AcehBaratDaya,Blangpidie,BTJ,48000,2 - 3,41000,3 - 6,-,JAKARTA"
"AcehBarat,Bubon,BTJ,60000,3 - 6,52000,4 - 7,-,JAKARTA"
"BenerMeriah,Bukit,BTJ,60000,3 - 6,52000,4 - 7,-,JAKARTA"
"AcehTenggara,BukitTusam,BTJ,60000,3 - 6,52000,4 - 7,-,JAKARTA"
"AcehTengah,Celala,BTJ,60000,3 - 6,52000,4 - 7,-,JAKARTA"
"AcehUtara,CotGirek,BTJ,60000,3 - 6,52000,4 - 7,-,JAKARTA"
"GayoLues,DabungGelang,BTJ,60000,3 - 6,52000,4 - 7,-,JAKARTA"
"AcehSingkil,DanauParis,BTJ,60000,3 - 6,52000,4 - 7,-,JAKARTA"
"AcehTimur,DarulAman,BTJ,60000,3 - 6,52000,4 - 7,-,JAKARTA"
"AcehTenggara,DarulHasanah,BTJ,60000,3 - 6,52000,4 - 7,-,JAKARTA"
"AcehTimur,DarulIksan,BTJ,60000,3 - 6,52000,4 - 7,-,JAKARTA"
"AcehBesar,DarulImarah,BTJ,60000,3 - 6,52000,4 - 7,-,JAKARTA"
"AcehBesar,DarulKamal,BTJ,60000,3 - 6,52000,4 - 7,-,JAKARTA"
"NaganRaya,DarulMakmur,BTJ,60000,3 - 6,52000,4 - 7,-,JAKARTA"
"AcehBesar,Darussalam,BTJ,60000,3 - 6,52000,4 - 7,-,JAKARTA"
"Pidie,Delima,BTJ,60000,3 - 6,52000,4 - 7,-,JAKARTA"
"AcehUtara,Dewantara,BTJ,60000,3 - 6,52000,4 - 7,-,JAKARTA"
"Bireuen,GandaPura,BTJ,60000,3 - 6,52000,4 - 7,-,JAKARTA"
"Pidie,Geumpang,BTJ,60000,3 - 6,52000,4 - 7,-,JAKARTA"
"Pidie,GleumpangBaro,BTJ,60000,3 - 6,52000,4 - 7,-,JAKARTA"
"Pidie,GlumpangTiga,BTJ,60000,3 - 6,52000,4 - 7,-,JAKARTA"
"Pidie,Grong-Grong,BTJ,60000,3 - 6,52000,4 - 7,-,JAKARTA"
"AcehSingkil,GunungMeriah,BTJ,60000,3 - 6,52000,4 - 7,-,JAKARTA"
"AcehTimur,IdiRayeuk,BTJ,48000,2 - 3,41000,3 - 6,-,JAKARTA"
"AcehTimur,IdiTuning,BTJ,60000,3 - 6,52000,4 - 7,-,JAKARTA"
"Pidie,Indrajaya,BTJ,60000,3 - 6,52000,4 - 7,-,JAKARTA"
"AcehTimur,IndraMakmur,BTJ,60000,3 - 6,52000,4 - 7,-,JAKARTA"
"AcehBesar,Indrapuri,BTJ,60000,3 - 6,52000,4 - 7,-,JAKARTA"
"AcehBesar,InginJaya,BTJ,60000,3 - 6,52000,4 - 7,-,JAKARTA"
"AcehTengah,JagongJeget,BTJ,60000,3 - 6,52000,4 - 7,-,JAKARTA"
"Bireuen,Jangka,BTJ,60000,3 - 6,52000,4 - 7,-,JAKARTA"
"PidieJaya,JangkaBuya,BTJ,60000,3 - 6,52000,4 - 7,-,JAKARTA"
"AcehBesar,Janto,BTJ,48000,2 - 3,41000,3 - 6,-,JAKARTA"
"AcehJaya,Jaya,BTJ,60000,3 - 6,52000,4 - 7,-,JAKARTA"
"BandaAceh,JayaBaru,BTJ,33000,1 - 2,29000,2 - 3,-,JAKARTA"
"Bireuen,Jeumpa,BTJ,60000,3 - 6,52000,4 - 7,-,JAKARTA"
"Bireuen,Jeunieb,BTJ,60000,3 - 6,52000,4 - 7,-,JAKARTA"
"AcehBarat,JohanPahlawan,BTJ,60000,3 - 6,52000,4 - 7,-,JAKARTA"
"Bireuen,Juli,BTJ,60000,3 - 6,52000,4 - 7,-,JAKARTA"
"AcehTimur,Julok,BTJ,60000,3 - 6,52000,4 - 7,-,JAKARTA"
"AcehTamiang,KarangBaru,BTJ,60000,3 - 6,52000,4 - 7,-,JAKARTA"
"AcehTengah,Kebayakan,BTJ,60000,3 - 6,52000,4 - 7,-,JAKARTA"
"AcehBarat,Kec.KawayXVI,BTJ,60000,3 - 6,52000,4 - 7,-,JAKARTA"
"AcehTamiang,KejuruanMuda,BTJ,60000,3 - 6,52000,4 - 7,-,JAKARTA"
"Pidie,KembangTanjung,BTJ,60000,3 - 6,52000,4 - 7,-,JAKARTA"
"AcehTengah,Ketol,BTJ,60000,3 - 6,52000,4 - 7,-,JAKARTA"
"AcehSelatan,KluetSelatan,BTJ,60000,3 - 6,52000,4 - 7,-,JAKARTA"
"AcehSelatan,KluetTengah,BTJ,60000,3 - 6,52000,4 - 7,-,JAKARTA"
"AcehSelatan,KluetTimur,BTJ,60000,3 - 6,52000,4 - 7,-,JAKARTA"
"AcehSelatan,KluetUtara,BTJ,60000,3 - 6,52000,4 - 7,-,JAKARTA"
"AcehSingkil,KotaBaharu,BTJ,60000,3 - 6,52000,4 - 7,-,JAKARTA"
"Bireuen,KotaJuang,BTJ,60000,3 - 6,52000,4 - 7,-,JAKARTA"
"AcehBesar,KruengBaronaJaya,BTJ,60000,3 - 6,52000,4 - 7,-,JAKARTA"
"AcehJaya,KruengSabee/Calang,BTJ,48000,2 - 3,41000,3 - 6,-,JAKARTA"
"Bireuen,Kuala,BTJ,60000,3 - 6,52000,4 - 7,-,JAKARTA"
"NaganRaya,Kuala,BTJ,60000,3 - 6,52000,4 - 7,-,JAKARTA"
"AcehBaratDaya,kualaBatee,BTJ,60000,3 - 6,52000,4 - 7,-,JAKARTA"
"AcehTamiang,KualaSimpang,BTJ,48000,2 - 3,41000,3 - 6,-,JAKARTA"
"BandaAceh,KutaAlam,BTJ,33000,1 - 2,29000,2 - 3,-,JAKARTA"
"AcehBesar,KutaBaro,BTJ,60000,3 - 6,52000,4 - 7,-,JAKARTA"
"Bireuen,KutaBlang,BTJ,60000,3 - 6,52000,4 - 7,-,JAKARTA"
"AcehTenggara,Kutacane,BTJ,48000,2 - 3,41000,3 - 6,-,JAKARTA"
"AcehBesar,KutaCotGlie,BTJ,60000,3 - 6,52000,4 - 7,-,JAKARTA"
"AcehUtara,KutaMakmur,BTJ,60000,3 - 6,52000,4 - 7,-,JAKARTA"
"AcehBesar,KutaMalaka,BTJ,60000,3 - 6,52000,4 - 7,-,JAKARTA"
"GayoLues,KutaPanjang,BTJ,60000,3 - 6,52000,4 - 7,-,JAKARTA"
"BandaAceh,KutaRaja,BTJ,33000,1 - 2,29000,2 - 3,-,JAKARTA"
"AcehTengah,KutePanang,BTJ,60000,3 - 6,52000,4 - 7,-,JAKARTA"
"AcehSelatan,LabuhanHaji,BTJ,60000,3 - 6,52000,4 - 7,-,JAKARTA"
"AcehSelatan,LabuhanHajiBarat,BTJ,60000,3 - 6,52000,4 - 7,-,JAKARTA"
"AcehSelatan,LabuhanHajiTimur,BTJ,60000,3 - 6,52000,4 - 7,-,JAKARTA"
"AcehUtara,Langkahan,BTJ,60000,3 - 6,52000,4 - 7,-,JAKARTA"
"Langsa,Langsa,BTJ,48000,2 - 3,41000,3 - 6,-,JAKARTA"
"Langsa,LangsaBarat,BTJ,48000,2 - 3,41000,3 - 6,-,JAKARTA"
"Langsa,LangsaKota,BTJ,48000,2 - 3,41000,3 - 6,-,JAKARTA"
"Langsa,LangsaLama,BTJ,48000,2 - 3,41000,3 - 6,-,JAKARTA"
"Langsa,LangsaTeungoh,BTJ,48000,2 - 3,41000,3 - 6,-,JAKARTA"
"Langsa,LangsaTimur,BTJ,48000,2 - 3,41000,3 - 6,-,JAKARTA"
"AcehTengah,LautTawar,BTJ,60000,3 - 6,52000,4 - 7,-,JAKARTA"
"AcehTenggara,LaweAlas,BTJ,60000,3 - 6,52000,4 - 7,-,JAKARTA"
"AcehTenggara,LaweBulan,BTJ,60000,3 - 6,52000,4 - 7,-,JAKARTA"
"AcehTenggara,LaweSigala-gala,BTJ,60000,3 - 6,52000,4 - 7,-,JAKARTA"
"AcehBesar,LembahSeulawah,BTJ,60000,3 - 6,52000,4 - 7,-,JAKARTA"
"AcehBesar,Leupung,BTJ,60000,3 - 6,52000,4 - 7,-,JAKARTA"
"Lhokseumawe,Lhokseumawe,BTJ,48000,2 - 3,41000,3 - 6,-,JAKARTA"
"AcehUtara,Lhoksukon,BTJ,48000,2 - 3,41000,3 - 6,-,JAKARTA"
"AcehBesar,Lho'Nga,BTJ,60000,3 - 6,52000,4 - 7,-,JAKARTA"
"AcehBesar,Lhoong,BTJ,60000,3 - 6,52000,4 - 7,-,JAKARTA"
"AcehTengah,LingeIsak,BTJ,60000,3 - 6,52000,4 - 7,-,JAKARTA"
"Subulussalam,Longkip,BTJ,48000,2 - 3,41000,3 - 6,-,JAKARTA"
"BandaAceh,LuengBata,BTJ,33000,1 - 2,29000,2 - 3,-,JAKARTA"
"AcehTimur,Madat,BTJ,60000,3 - 6,52000,4 - 7,-,JAKARTA"
"Bireuen,Makmur,BTJ,60000,3 - 6,52000,4 - 7,-,JAKARTA"
"Pidie,Mane,BTJ,60000,3 - 6,52000,4 - 7,-,JAKARTA"
"AcehBaratDaya,Manggeng,BTJ,60000,3 - 6,52000,4 - 7,-,JAKARTA"
"AcehTamiang,ManyakPayed,BTJ,60000,3 - 6,52000,4 - 7,-,JAKARTA"
"AcehUtara,MatangKuli,BTJ,60000,3 - 6,52000,4 - 7,-,JAKARTA"
"AcehBesar,MesjidRaya,BTJ,60000,3 - 6,52000,4 - 7,-,JAKARTA"
"AcehSelatan,Meukek,BTJ,60000,3 - 6,52000,4 - 7,-,JAKARTA"
"AcehBarat,Meulaboh,BTJ,48000,2 - 3,41000,3 - 6,-,JAKARTA"
"PidieJaya,MeurahDua,BTJ,60000,3 - 6,52000,4 - 7,-,JAKARTA"
"AcehUtara,MeurahMulia,BTJ,60000,3 - 6,52000,4 - 7,-,JAKARTA"
"BandaAceh,Meuraksa,BTJ,33000,1 - 2,29000,2 - 3,-,JAKARTA"
"PidieJaya,Meureudu,BTJ,48000,2 - 3,41000,3 - 6,-,JAKARTA"
"Pidie,Mila,BTJ,60000,3 - 6,52000,4 - 7,-,JAKARTA"
"AcehBesar,Montasik,BTJ,60000,3 - 6,52000,4 - 7,-,JAKARTA"
"AcehUtara,MuaraBatu,BTJ,60000,3 - 6,52000,4 - 7,-,JAKARTA"
"Lhokseumawe,MuaraDua,BTJ,48000,2 - 3,41000,3 - 6,-,JAKARTA"
"Pidie,MuaraTiga,BTJ,60000,3 - 6,52000,4 - 7,-,JAKARTA"
"Pidie,Mutiara,BTJ,60000,3 - 6,52000,4 - 7,-,JAKARTA"
"Pidie,MutiaraTimur,BTJ,60000,3 - 6,52000,4 - 7,-,JAKARTA"
"AcehUtara,Nibong,BTJ,60000,3 - 6,52000,4 - 7,-,JAKARTA"
"AcehUtara,Nisam,BTJ,60000,3 - 6,52000,4 - 7,-,JAKARTA"
"AcehTimur,Nurussalam,BTJ,60000,3 - 6,52000,4 - 7,-,JAKARTA"
"Pidie,PadangTiji,BTJ,60000,3 - 6,52000,4 - 7,-,JAKARTA"
"Bireuen,Pandrah,BTJ,60000,3 - 6,52000,4 - 7,-,JAKARTA"
"AcehJaya,Pangat,BTJ,60000,3 - 6,52000,4 - 7,-,JAKARTA"
"GayoLues,PantanJaya,BTJ,60000,3 - 6,52000,4 - 7,-,JAKARTA"
"AcehTimur,PanteBeudari,BTJ,60000,3 - 6,52000,4 - 7,-,JAKARTA"
"AcehBarat,PanteCeureumen,BTJ,60000,3 - 6,52000,4 - 7,-,JAKARTA"
"PidieJaya,Panteraja,BTJ,60000,3 - 6,52000,4 - 7,-,JAKARTA"
"AcehSelatan,Pasieraja,BTJ,60000,3 - 6,52000,4 - 7,-,JAKARTA"
"AcehUtara,PayaBakong,BTJ,60000,3 - 6,52000,4 - 7,-,JAKARTA"
"AcehTengah,Pegasing,BTJ,60000,3 - 6,52000,4 - 7,-,JAKARTA"
"Subulussalam,Penanggalan,BTJ,48000,2 - 3,41000,3 - 6,-,JAKARTA"
"BenerMeriah,Permata,BTJ,60000,3 - 6,52000,4 - 7,-,JAKARTA"
"Bireuen,Peudada,BTJ,60000,3 - 6,52000,4 - 7,-,JAKARTA"
"AcehTimur,Peudawa,BTJ,60000,3 - 6,52000,4 - 7,-,JAKARTA"
"AcehBesar,PeukanBada,BTJ,60000,3 - 6,52000,4 - 7,-,JAKARTA"
"Pidie,PeukanBaro,BTJ,60000,3 - 6,52000,4 - 7,-,JAKARTA"
"AcehTimur,Peureulak,BTJ,60000,3 - 6,52000,4 - 7,-,JAKARTA"
"AcehTimur,PeureulakBarat,BTJ,60000,3 - 6,52000,4 - 7,-,JAKARTA"
"AcehTimur,PeureulakTimur,BTJ,60000,3 - 6,52000,4 - 7,-,JAKARTA"
"Bireuen,Peusangan,BTJ,60000,3 - 6,52000,4 - 7,-,JAKARTA"
"Bireuen,PeusanganSelatan,BTJ,60000,3 - 6,52000,4 - 7,-,JAKARTA"
"Bireuen,PeusanganSiblahKrueng,BTJ,60000,3 - 6,52000,4 - 7,-,JAKARTA"
"Pidie,Pidie,BTJ,60000,3 - 6,52000,4 - 7,-,JAKARTA"
"GayoLues,Pining,BTJ,60000,3 - 6,52000,4 - 7,-,JAKARTA"
"BenerMeriah,PintuRime,BTJ,60000,3 - 6,52000,4 - 7,-,JAKARTA"
"Bireuen,Primbang,BTJ,60000,3 - 6,52000,4 - 7,-,JAKARTA"
"AcehSingkil,PulauBanyak,BTJ,60000,3 - 6,52000,4 - 7,-,JAKARTA"
"AcehBesar,Puroaceh,BTJ,60000,3 - 6,52000,4 - 7,-,JAKARTA"
"GayoLues,PutriBetung,BTJ,60000,3 - 6,52000,4 - 7,-,JAKARTA"
"AcehTamiang,Rantau,BTJ,60000,3 - 6,52000,4 - 7,-,JAKARTA"
"AcehTimur,RantauSelamat,BTJ,60000,3 - 6,52000,4 - 7,-,JAKARTA"
"AcehTimur,RantoPeureulak,BTJ,60000,3 - 6,52000,4 - 7,-,JAKARTA"
"GayoLues,RikitGaib,BTJ,60000,3 - 6,52000,4 - 7,-,JAKARTA"
"Subulussalam,Rundeng,BTJ,48000,2 - 3,41000,3 - 6,-,JAKARTA"
"AcehTengah,RusipAntara,BTJ,60000,3 - 6,52000,4 - 7,-,JAKARTA"
"Sabang,Sabang,BTJ,48000,2 - 3,41000,3 - 6,-,JAKARTA"
"Pidie,Sakti,BTJ,60000,3 - 6,52000,4 - 7,-,JAKARTA"
"Simeuleu,Salang,BTJ,90000,+ 10,-,-,-,JAKARTA"
"AcehSelatan,SamaDua,BTJ,60000,3 - 6,52000,4 - 7,-,JAKARTA"
"Bireuen,Samalanga,BTJ,60000,3 - 6,52000,4 - 7,-,JAKARTA"
"AcehBarat,Samatiga,BTJ,60000,3 - 6,52000,4 - 7,-,JAKARTA"
"AcehJaya,SampoNiet,BTJ,60000,3 - 6,52000,4 - 7,-,JAKARTA"
"AcehUtara,Samudera,BTJ,60000,3 - 6,52000,4 - 7,-,JAKARTA"
"AcehSelatan,Sawang,BTJ,60000,3 - 6,52000,4 - 7,-,JAKARTA"
"AcehUtara,Sawang,BTJ,60000,3 - 6,52000,4 - 7,-,JAKARTA"
"AcehTenggara,Semadam,BTJ,60000,3 - 6,52000,4 - 7,-,JAKARTA"
"AcehTimur,SerbaJadi/Lokop,BTJ,60000,3 - 6,52000,4 - 7,-,JAKARTA"
"AcehJaya,SetiaBakti,BTJ,60000,3 - 6,52000,4 - 7,-,JAKARTA"
"AcehBesar,Seulimeum,BTJ,60000,3 - 6,52000,4 - 7,-,JAKARTA"
"NaganRaya,Seunagan,BTJ,60000,3 - 6,52000,4 - 7,-,JAKARTA"
"NaganRaya,SeunaganTimur,BTJ,60000,3 - 6,52000,4 - 7,-,JAKARTA"
"AcehUtara,Seunuddon,BTJ,60000,3 - 6,52000,4 - 7,-,JAKARTA"
"AcehTamiang,Seuruway,BTJ,60000,3 - 6,52000,4 - 7,-,JAKARTA"
"Pidie,Sigli,BTJ,48000,2 - 3,41000,3 - 6,-,JAKARTA"
"AcehTengah,SilihNara,BTJ,60000,3 - 6,52000,4 - 7,-,JAKARTA"
"Simeuleu,SimeulueTengah,BTJ,90000,+ 10,-,-,-,JAKARTA"
"Simeuleu,SimeulueTimur,BTJ,90000,+ 10,-,-,-,JAKARTA"
"AcehTimur,SimpangJernih,BTJ,60000,3 - 6,52000,4 - 7,-,JAKARTA"
"AcehSingkil,SimpangKanan,BTJ,60000,3 - 6,52000,4 - 7,-,JAKARTA"
"AcehUtara,SimpangKeuramat,BTJ,60000,3 - 6,52000,4 - 7,-,JAKARTA"
"Subulussalam,SimpangKiri,BTJ,48000,2 - 3,41000,3 - 6,-,JAKARTA"
"Bireuen,SimpangMamplam,BTJ,60000,3 - 6,52000,4 - 7,-,JAKARTA"
"AcehBesar,Simpangtiga,BTJ,60000,3 - 6,52000,4 - 7,-,JAKARTA"
"Pidie,Simpangtiga,BTJ,60000,3 - 6,52000,4 - 7,-,JAKARTA"
"BenerMeriah,SimpangTigaRedelon,BTJ,48000,2 - 3,41000,3 - 6,-,JAKARTA"
